iter	Passed	Remaining
0	1	128
1	2	99
2	3	103
3	3	95
4	4	91
5	5	88
6	6	88
7	7	85
8	8	83
9	9	81
10	10	82
11	10	79
12	11	78
13	12	75
14	13	73
15	13	71
16	14	70
17	15	68
18	16	69
19	16	67
20	17	66
21	18	65
22	19	63
23	19	62
24	20	61
25	21	60
26	22	59
27	23	59
28	24	59
29	25	59
30	26	58
31	26	57
32	27	56
33	28	55
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	35	47
43	36	46
44	37	45
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	45	36
55	45	35
56	46	35
57	47	34
58	47	33
59	48	32
60	49	31
61	49	30
62	50	29
63	51	28
64	52	28
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	22
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	60	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	74	0
