iter	Passed	Remaining
0	146	146299
1	149	74373
2	152	50538
3	155	38604
4	157	31383
5	160	26573
6	163	23142
7	166	20630
8	169	18633
9	171	17001
10	173	15643
11	176	14540
12	179	13622
13	181	12811
14	184	12096
15	186	11461
16	188	10892
17	190	10416
18	193	10002
19	196	9614
20	198	9243
21	200	8929
22	203	8630
23	206	8391
24	208	8134
25	210	7887
26	212	7660
27	214	7450
28	216	7255
29	219	7087
30	221	6926
31	223	6766
32	226	6622
33	228	6481
34	230	6348
35	232	6227
36	234	6115
37	237	6000
38	239	5900
39	241	5802
40	244	5710
41	246	5625
42	249	5543
43	251	5459
44	253	5376
45	255	5300
46	257	5229
47	260	5157
48	262	5096
49	264	5032
50	267	4974
51	269	4911
52	271	4855
53	273	4799
54	276	4747
55	278	4698
56	280	4648
57	283	4605
58	286	4563
59	288	4514
60	290	4471
61	292	4431
62	295	4388
63	297	4351
64	300	4316
65	302	4278
66	304	4241
67	307	4211
68	309	4175
69	311	4141
70	314	4109
71	316	4075
72	318	4043
73	320	4015
74	323	3984
75	325	3955
76	327	3925
77	329	3898
78	331	3868
79	334	3842
80	336	3820
81	338	3793
82	340	3756
83	342	3731
84	344	3706
85	346	3683
86	348	3662
87	351	3642
88	353	3619
89	355	3597
90	357	3575
91	360	3554
92	362	3535
93	365	3519
94	367	3500
95	369	3480
96	372	3463
97	374	3450
98	377	3432
99	379	3417
100	382	3404
101	384	3387
102	387	3373
103	390	3361
104	392	3347
105	395	3338
106	398	3325
107	400	3308
108	403	3295
109	405	3279
110	407	3265
111	410	3252
112	412	3239
113	414	3223
114	417	3209
115	419	3195
116	421	3179
117	423	3166
118	426	3155
119	428	3141
120	431	3132
121	433	3116
122	435	3102
123	437	3090
124	439	3079
125	442	3069
126	444	3053
127	446	3041
128	448	3029
129	450	3017
130	453	3006
131	455	2997
132	457	2984
133	459	2970
134	461	2958
135	463	2945
136	465	2933
137	468	2923
138	470	2916
139	473	2907
140	475	2897
141	476	2882
142	479	2872
143	481	2861
144	483	2851
145	486	2844
146	488	2833
147	490	2823
148	492	2814
149	494	2804
150	496	2792
151	499	2784
152	501	2775
153	503	2764
154	505	2756
155	507	2746
156	509	2738
157	512	2728
158	514	2721
159	516	2713
160	518	2702
161	521	2695
162	523	2685
163	525	2676
164	527	2668
165	530	2663
166	532	2656
167	534	2648
168	537	2641
169	539	2632
170	542	2627
171	544	2620
172	546	2612
173	548	2605
174	551	2597
175	553	2590
176	555	2583
177	557	2575
178	560	2570
179	562	2562
180	564	2555
181	567	2549
182	569	2543
183	571	2536
184	574	2530
185	576	2524
186	578	2516
187	581	2511
188	583	2504
189	586	2498
190	588	2491
191	590	2484
192	593	2480
193	595	2473
194	597	2466
195	599	2459
196	601	2453
197	604	2447
198	607	2443
199	609	2436
200	611	2430
201	613	2424
202	615	2417
203	617	2411
204	620	2407
205	622	2399
206	624	2393
207	626	2384
208	627	2375
209	629	2368
210	631	2360
211	633	2354
212	635	2348
213	637	2340
214	639	2333
215	640	2325
216	642	2317
217	644	2312
218	646	2305
219	648	2297
220	649	2290
221	651	2283
222	653	2276
223	654	2268
224	656	2262
225	658	2256
226	661	2251
227	663	2245
228	665	2239
229	666	2232
230	669	2228
231	670	2220
232	672	2214
233	674	2208
234	676	2203
235	679	2198
236	681	2192
237	682	2186
238	684	2178
239	686	2172
240	688	2167
241	690	2162
242	691	2155
243	693	2149
244	695	2141
245	696	2135
246	697	2127
247	699	2122
248	702	2117
249	703	2111
250	706	2108
